mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_midday_over_import_summer,export_night_over_import,export_midday_minus_evening_over_import_summer,export_max_kw,export_max_over_mean_import,export_summer_minus_winter_over_import,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw
99852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6971,2.0914,0.0008,0.0406,0.0141,6.8078,0.8474,0.3390,2.5143,0.8956,912,338,269,1,0,0.0000,0.2604,0
9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3840,0.0000,0.0000,0.0000,0.0261,5.0091,436.5892,0.2377,2.9627,0.4032,1301,461,420,1,0,0.0000,0.4644,0
100109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0791,2.0528,0.0000,0.0000,0.0056,7.7890,0.9729,0.3592,4.1843,0.5025,943,338,300,1,0,0.0000,0.2264,0
100365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4905,3.1002,0.0000,0.0004,0.0102,7.2622,0.3557,0.2944,3.6490,0.8796,730,246,240,1,0,0.0000,0.1467,0
100621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7884,3.1574,2.8232,4.0802,0.0138,4.9804,1.2944,0.4370,10.2119,0.0225,1301,461,420,1,0,0.0000,0.0830,0
100877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1935,0.8935,0.0000,0.0000,-0.0253,4.3172,1.1525,0.3435,1.7203,0.3739,92,31,0,1,0,0.0000,1.0650,0
101389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5272,4.1700,1.9228,1.8125,0.0091,3.9499,1.0352,0.4433,15.0597,0.3604,1239,461,389,1,0,0.0000,0.1647,0
101901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2537,2.4691,0.0155,0.1487,-0.0031,8.5196,0.9790,0.3665,3.0664,1.0931,852,338,240,1,0,0.0000,0.2348,0
102157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0416,2.6462,0.0000,0.0000,0.0093,8.9327,0.8499,0.4134,2.2533,1.3769,852,338,240,1,0,0.0000,0.5314,0
103437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6726,0.3999,0.0000,0.0000,-0.0272,4.4249,0.8114,0.2365,1.8258,0.1606,395,123,120,1,0,0.0000,1.1585,0
103693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9051,1.5803,0.7092,0.6199,-0.0263,5.4019,0.9975,0.3624,4.3235,0.3485,852,338,240,1,0,0.0000,0.2355,0
103949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7639,0.4713,0.0000,0.0000,-0.0035,3.6884,0.7767,0.2035,1.4956,0.2298,306,123,92,1,0,0.0000,0.3921,0
104461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2846,0.9612,0.0000,0.0000,-0.0154,5.5279,0.6882,0.3460,2.9066,0.2738,821,338,240,1,0,0.0000,1.2672,0
104717,18463.7773,0.9406,3.5917,0.0788,3.0664,0.0003,1.7429,7.9666,7.6571,1.3327,0.0959,0.6107,7.0194,0.0448,0.0774,1.4098,0.2226,0.0496,0.5429,0.0000,791,338,240,1,1,8.9240,1.0404,0
105229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6499,0.5839,1.8394,0.5226,-0.0242,4.1515,0.6681,0.2407,9.8577,0.1227,822,338,240,1,0,0.0000,0.6403,0
105485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9999,0.8309,0.0000,0.0000,-0.0062,3.9277,0.5679,0.2585,1.1966,0.5698,791,338,240,1,0,0.0000,1.7924,0
106253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3235,2.6547,0.0000,0.0000,-0.0032,4.0460,0.4266,0.3326,3.2995,0.5532,822,338,240,1,0,0.0000,0.5588,0
107021,152.0100,0.3464,0.0494,0.0046,0.0494,0.0000,0.0415,0.2800,0.8474,0.0278,0.6427,1.0986,2.1664,0.0000,0.0468,1.8222,0.5208,0.2910,1.7967,0.0133,791,338,240,1,1,0.4120,0.3304,0
107277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5634,0.8623,0.0000,0.0000,-0.0234,7.2290,0.7033,0.3495,2.0168,0.7809,822,338,240,1,0,0.0000,0.6403,0
107789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8908,3.9020,0.0166,0.0449,0.0125,6.4571,0.7145,0.4655,5.9954,0.8143,852,338,240,1,0,0.0000,0.3749,0
108813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7149,0.7646,0.0000,0.0000,0.0042,3.6849,0.7762,0.2448,1.5970,0.1887,791,307,240,1,0,0.0000,0.5665,0
109069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7705,1.2667,0.5888,1.6181,-0.0021,5.0611,3.1806,0.3294,8.5728,0.2853,1239,461,389,1,0,0.0000,0.1060,0
109325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9446,1.0060,1.2447,0.1811,0.0089,1.5704,0.9161,0.2437,3.2022,0.5229,760,307,240,1,0,0.0000,0.1625,0
109581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6295,0.3910,0.0000,0.0000,-0.0177,4.6893,0.8731,0.2782,3.7058,0.5408,791,307,240,1,0,0.0000,0.3345,0
110093,2560.8550,0.6092,4.8195,0.0182,4.7364,0.0002,3.4938,3.9120,18.2747,1.0016,0.3578,0.8051,6.7509,4.6887,-0.0180,4.8966,0.0913,0.3162,0.9322,0.0000,760,307,240,1,1,4.8320,0.2141,0
110605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2483,2.0776,2.0283,1.4903,0.0137,10.1484,0.3386,0.4401,9.3072,0.0000,730,277,240,1,0,0.0000,0.8820,0
110861,12842.0830,0.5986,131.1590,0.0025,121.6135,0.0000,65.4081,8.5334,18.0947,3.1864,0.0777,0.5942,7.8077,4.6592,0.0417,3.2401,0.0090,0.1197,0.3013,0.0000,730,277,240,1,1,9.4120,0.4716,0
111117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7005,1.5624,0.0000,0.0000,-0.0009,5.6174,0.7907,0.3326,2.1843,0.6128,791,307,240,1,0,0.0000,0.3328,0
111373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2120,1.8823,1.8471,1.9190,-0.0069,4.8971,1.2324,0.3377,6.9146,0.4584,761,277,240,1,0,0.0000,0.1396,0
111629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6975,4.4814,0.2180,0.5128,0.0525,5.6892,0.7533,0.4179,6.2710,0.6658,761,277,240,1,0,0.0000,0.2090,0
112397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1240,1.0367,0.0000,0.0000,0.0038,5.5241,0.4436,0.2608,1.1425,0.7533,761,277,240,1,0,0.0080,0.2049,0
112653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1291,1.2223,0.0000,0.0000,0.0034,4.9059,0.6469,0.2971,2.6314,0.5893,761,277,240,1,0,0.0000,0.3827,0
113677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9046,1.8683,0.0000,0.0000,0.0176,5.5624,0.5943,0.3419,4.1214,0.7041,730,246,240,1,0,0.0000,0.3846,0
114189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3044,5.0521,0.0807,0.0402,0.0594,8.0868,0.8076,0.3950,5.2879,0.6280,730,277,240,1,0,0.0000,0.1529,0
