mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
149015,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.70486,1.77753,0.00000,0.00000,-0.00273,4.59630,0.88359,0.26620,10.39584,0.67124,365,123,120,1,0,0.00000,0.24082,0,0.00000,0.00000,0.00000,0.18188,0.02465,5076,Bözen,PSI Würenlingen / PSI,11.41022,PSI Würenlingen / PSI,11.41022,104,120,,7
149271,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.47273,1.05813,1.05097,1.41449,-0.01879,5.04349,1.11439,0.38818,7.69655,0.73038,365,123,120,1,0,0.00000,0.06886,0,0.00000,0.00000,0.00000,-0.17420,0.47901,5314,Kleindöttingen,BEZ Beznau,1.44603,BEZ Beznau,1.44603,103,120,,7
149527,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.53260,2.41432,0.03676,0.02108,0.01235,6.05371,0.71175,0.28853,4.85773,0.27376,365,123,120,1,0,0.00000,0.40582,0,0.00000,0.00000,0.00000,-0.00433,-0.06682,5707,Seengen,MOA Mosen,9.41162,MOA Mosen,9.41162,102,120,,7
149783,10871.27344,0.85479,10.28122,0.19759,0.12973,0.86531,0.00030,12.30770,2.54786,10.71200,0.02676,0.32083,7.68112,0.45368,0.04298,1.55355,0.12893,0.02554,0.19761,0.00000,365,123,120,1,1,10.86000,0.84507,0,0.95854,0.37071,9.27434,-0.56961,-0.72421,5707,Seengen,MOA Mosen,9.41162,MOA Mosen,9.41162,98,120,,0
150039,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.44825,3.29789,0.00000,0.00000,0.00735,4.09056,0.70550,0.33929,3.68265,0.53533,365,123,120,1,0,0.00000,0.28231,0,0.00000,0.00000,0.00000,-0.01439,0.07666,5707,Seengen,MOA Mosen,9.41162,MOA Mosen,9.41162,96,119,,7
150295,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.01333,3.18382,0.07258,0.30522,0.06021,6.11578,0.56090,0.37531,3.86079,0.66075,365,123,120,1,0,0.00000,0.29517,0,0.00000,0.00000,0.00000,-0.07638,0.22879,5312,Döttingen,BEZ Beznau,1.91879,BEZ Beznau,1.91879,93,120,,7
150551,358.75400,0.72527,0.37134,0.08523,0.88712,0.91578,0.00000,14.61345,2.08245,0.91940,0.75660,1.14890,0.00000,0.00000,0.00000,12.00000,0.02920,0.33333,0.00000,0.75660,273,31,120,1,1,1.00800,0.52285,0,0.00000,0.00000,0.00000,0.00000,-0.08218,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,1,120,,8
150807,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.90730,2.30671,0.00000,0.00000,0.02960,5.88053,0.73322,0.32225,3.10492,0.83734,334,92,120,1,0,0.00000,0.73837,0,0.00000,0.00000,0.00000,0.07250,-0.12978,4324,Obermumpf,MOE Möhlin,6.71235,MOE Möhlin,6.71235,92,120,,7
151063,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.18857,0.33431,0.41576,1.97045,-0.02758,6.03573,0.79823,0.28150,4.21082,0.61872,334,92,120,1,0,0.00000,0.30662,0,0.00000,0.00000,0.00000,0.14341,-0.05749,5314,Kleindöttingen,BEZ Beznau,1.44603,BEZ Beznau,1.44603,92,120,,7
151319,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.17730,0.40437,0.00000,0.00000,-0.01946,4.70877,0.50316,0.26970,2.63543,0.28239,334,92,120,1,0,0.00000,1.41444,0,0.00000,0.00000,0.00000,-0.26152,-0.30251,4813,Uerkheim,GOE Gösgen,7.18402,GOE Gösgen,7.18402,92,120,,7
