mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
171279,0.0820,3.0360,3.7104,0.2000,1.0000,1.4000,3.5850,4.9258,0.0000,2.6200,0.0000,3.5391,0.0820,0.0583,10.0000,0.0000,5.2748,0.8361,0.2279,1.0000,61,61,0,0.5845,0.1180
171535,0.0164,2.2000,2.2000,1.0000,1.0000,1.0000,2.1940,2.1940,0.0164,1.8880,0.0000,0.0000,0.0164,-0.0222,61.0000,0.0000,3.5536,0.2336,0.0682,1.0000,61,61,0,0.4853,0.0780
171791,0.6557,5.1680,8.9904,0.2000,6.1250,12.8750,38.3300,92.5648,0.0492,6.8960,0.4500,5.6174,0.3607,-0.0417,1.0000,0.0000,21.5456,7.6885,0.0858,2.2750,61,61,0,31.4011,28.4160
172047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0000,0.0000,5.0556,0.3607,0.1501,0.0000,61,61,0,0.4262,0.0980
172303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,761.0000,0.0000,2.1138,0.0051,0.0597,0.0000,730,277,240,0.1448,0.0000
172559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0000,0.0000,2.8040,0.2090,0.1167,0.0000,61,61,0,0.2940,0.0840
172815,0.0082,2.8240,2.8240,1.0000,4.5000,4.5000,12.9020,12.9020,0.0082,1.6120,1.0000,0.0000,0.0000,0.0294,122.0000,-0.0027,2.7386,0.0389,0.5028,1.0000,122,92,0,0.0492,0.0000
173071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,2.5640,0.0161,0.0151,0.0000,31,31,0,0.3747,0.0000
173327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,0.5824,0.0000,0.0000,0.0000,31,31,0,0.0041,0.0000
173583,0.3871,3.0230,3.0814,1.0000,1.1250,1.2500,3.3505,3.7941,0.2581,2.3380,1.0000,0.1233,0.0000,-0.5217,1.0000,0.0000,4.8900,0.8710,0.4512,1.0000,31,31,0,0.3392,0.0440
174095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,0.0000,3.0890,0.0161,0.0215,0.0000,31,31,0,0.3367,0.0000
174351,0.0645,2.2210,2.2298,1.0000,1.6250,1.7250,3.6645,3.9713,0.0645,1.7660,1.0000,1.5200,0.0000,0.0815,3.0000,0.0000,3.1172,0.1774,0.2341,1.5000,31,31,0,0.3794,0.0000
18703,0.9551,16.5060,23.5116,0.3190,9.5000,11.2500,163.4850,240.6048,0.0000,20.1360,0.1880,3.5873,0.7756,-0.0027,1.0000,-0.1357,59.1200,17.4650,0.5228,2.4279,1270,461,420,24.6903,11.7540
24591,0.0008,2.1120,2.1120,1.0000,1.0000,1.0000,2.1910,2.1910,0.0000,1.8720,1.0000,0.0000,0.0000,0.0028,1308.0000,0.0024,2.5172,0.0354,0.0172,1.0000,1270,461,420,0.1934,0.0620
24847,0.0123,2.0600,2.2550,1.0000,1.7500,2.6250,3.8540,6.1597,0.0108,1.2780,0.0625,1.2932,0.0115,-0.0097,5.0000,0.0357,2.7820,0.0767,0.0655,1.0000,1301,461,420,0.1188,0.0200
25103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,0.2600,0.0000,0.0000,0.0000,1270,461,420,0.2756,0.2240
25871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.8972,0.0276,0.0349,0.0000,1270,461,420,0.0922,0.0280
26127,0.1008,2.3300,2.8364,0.7969,1.0000,2.0000,2.7552,4.9619,0.0425,1.6840,0.7891,3.1763,0.0213,-0.0138,4.0000,-0.0327,4.0889,0.4774,0.1540,1.0938,1270,461,420,0.3147,0.0160
271,0.0023,2.3480,2.9912,0.6667,1.0000,1.4000,3.1520,3.4248,0.0008,2.5760,0.3333,2.2050,0.0015,-0.0032,504.5000,0.0002,3.9060,0.1280,0.0660,1.3333,1301,461,420,0.2039,0.0640
27407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.8798,0.0386,0.0272,0.0000,1270,461,420,0.1344,0.0280
27919,0.5365,3.1820,3.6306,0.8381,1.7500,4.2500,5.9555,15.8782,0.3497,2.7580,0.8682,3.6612,0.0707,-0.3245,1.0000,-0.1670,7.7500,2.7721,0.5936,1.6347,1301,461,420,0.6412,0.0760
28687,0.5428,2.9800,4.0428,0.7176,1.5000,4.0000,5.3720,12.2296,0.1137,3.7920,0.6871,7.8701,0.1699,0.0304,1.0000,0.7229,8.8689,6.4480,0.6200,3.2588,783,246,300,1.3036,0.1640
29455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,3.5675,0.0797,0.0463,0.0000,1270,461,420,0.1764,0.0520
29967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.2120,0.0134,0.0150,0.0000,1270,461,420,0.0818,0.0600
30223,0.0787,2.2940,2.6364,0.9000,2.0000,4.7500,4.7215,11.0396,0.0472,1.5920,0.3900,4.8205,0.0480,0.0518,2.0000,0.1647,4.5550,0.3713,0.1151,1.3300,1270,461,420,0.3207,0.1160
30735,0.0031,2.4080,2.5528,1.0000,1.1250,1.2500,2.8382,3.1527,0.0008,2.4100,0.2500,5.7627,0.0024,-0.0006,51.0000,0.0050,3.8882,0.2280,0.0628,1.2500,1270,461,420,0.3717,0.1420
30991,0.0370,2.8860,3.5164,0.6383,1.0000,2.0000,3.3150,5.5090,0.0079,2.7680,0.4255,4.1142,0.0213,0.0215,13.0000,0.0190,5.8353,1.3756,0.3679,1.0851,1270,461,420,0.4510,0.0840
31247,0.1551,4.2320,4.7912,0.7614,1.0000,1.5000,4.3820,6.1736,0.0315,3.7640,0.6548,3.3579,0.0535,-0.0436,2.0000,0.2092,6.7837,1.4258,0.4130,1.0761,1270,461,420,0.4962,0.1300
34575,0.0441,2.4600,3.4360,0.6429,1.7500,8.6250,5.7230,20.9950,0.0197,2.2780,0.2857,2.5204,0.0315,-0.0309,5.0000,-0.0357,5.6183,0.6502,0.2003,1.6607,1270,461,420,0.3483,0.1380
34831,0.4323,3.0720,3.1668,0.9563,1.7500,2.2500,5.2145,6.8223,0.3575,2.5400,0.8506,2.9457,0.0646,-0.2774,1.0000,-0.7966,5.8939,1.3134,0.3192,1.0419,1270,461,420,0.4993,0.1320
35087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,0.0000,4.3042,0.1917,0.0442,0.0000,90,0,59,0.4530,0.0880
35343,0.0748,2.7280,3.5660,0.6526,1.0000,1.7500,3.2880,5.0441,0.0118,2.1600,0.6421,2.6384,0.0268,0.0226,7.0000,0.0865,5.1416,0.6175,0.1761,1.0211,1270,461,420,0.3792,0.0920
35855,0.0819,5.8950,6.3424,0.8846,1.0000,1.5000,5.9300,8.2591,0.0236,4.3360,0.8942,2.7853,0.0087,0.0473,7.0000,0.0923,7.0263,0.8327,0.3120,1.0096,1270,461,420,0.4463,0.0760
36111,0.4643,4.0360,4.1628,0.9421,1.2500,2.0000,4.7890,7.7026,0.2898,3.1420,0.8079,3.6348,0.0892,-0.1517,2.0000,0.1799,7.1120,1.0086,0.4679,1.0232,1301,461,420,0.3261,0.0720
36879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,0.0240,0.0000,0.0000,0.0000,1301,461,420,0.6462,0.6480
37135,0.7517,3.1840,3.2480,0.9949,1.2500,1.7500,3.9810,5.5711,0.6072,2.2820,0.9029,2.4469,0.0730,-0.6481,1.0000,0.0576,3.8920,1.2888,0.5195,1.0051,1301,461,420,0.3198,0.0360
37647,0.0046,2.2540,2.3860,1.0000,1.0000,1.1250,2.3820,2.5880,0.0023,1.8760,0.5000,4.9443,0.0023,0.0011,61.0000,-0.0063,3.4480,0.1065,0.0991,1.0000,1301,461,420,0.1091,0.0040
